"","commodity_scrCountry","month","sd_mean_div"
"121","30046_83",2016-01-01,4.80980014635639
"122","30947_83",2016-05-01,4.80533297309553
"123","31679_216",2015-06-01,4.80258071445848
"124","30957_22",2015-12-01,4.7997169229399
"125","31068_76",2015-07-01,4.79635374541288
"126","31146_76",2015-05-01,4.79353011488816
"127","31579_22",2016-03-01,4.77768452048146
"128","35681_236",2015-05-01,4.77092144493128
"129","37883_236",2016-10-01,4.7619069663449
"130","35180_210",2016-05-01,4.76181983802373
"131","30957_83",2016-01-01,4.7605934068434
"132","31678_216",2015-01-01,4.75301397348832
"133","37061_236",2016-10-01,4.75255388711524
"134","31164_60",2015-06-01,4.7403681118264
"135","31870_236",2015-01-01,4.73920956200858
"136","31146_76",2015-02-01,4.71794757938596
"137","30650_83",2016-06-01,4.71708673679529
"138","31084_22",2016-01-01,4.71011993386619
"139","31579_22",2015-05-01,4.70818472240648
"140","30476_83",2016-09-01,4.70539626424033
"141","31147_76",2016-07-01,4.69808783274165
"142","31678_76",2015-05-01,4.69399474665254
"143","35681_236",2016-10-01,4.69274964037419
"144","31164_60",2016-06-01,4.69181424151678
"145","30045_76",2016-10-01,4.67606013675932
"146","31678_76",2016-05-01,4.66949533257594
"147","29877_76",2016-03-01,4.66922340293534
"148","37433_83",2015-04-01,4.66839677115868
"149","31579_22",2016-07-01,4.66811444766032
"150","31678_76",2016-10-01,4.65225560889895
"151","31068_76",2015-02-01,4.65155287733099
"152","35004_110",2016-05-01,4.6469608093686
"153","31164_60",2016-09-01,4.63275262342953
"154","31916_22",2016-05-01,4.62010035883011
"155","37290_236",2016-08-01,4.60744569101482
"156","30962_110",2016-11-01,4.57975064036225
"157","30650_83",2016-11-01,4.57958943233154
"158","30527_76",2015-02-01,4.573131404334
"159","36538_236",2016-02-01,4.5721304879142
"160","32634_107",2015-02-01,4.57175815445197
"161","31164_60",2016-08-01,4.57090985048508
"162","31190_76",2016-10-01,4.5655624984281
"163","31027_83",2016-03-01,4.5640110240362
"164","30889_22",2015-02-01,4.56287596640879
"165","30430_110",2016-10-01,4.56111166647335
"166","31164_60",2016-02-01,4.55280714253585
"167","34532_110",2015-02-01,4.55197419729412
"168","32654_76",2016-10-01,4.54633807450256
"169","35012_83",2015-04-01,4.54567898692391
"170","31084_236",2015-06-01,4.54547308759114
"171","31084_83",2015-02-01,4.54385033461281
"172","31084_22",2016-07-01,4.54280616065252
"173","31084_22",2015-01-01,4.54045131276699
"174","31908_101",2015-05-01,4.53948788851397
"175","34952_76",2016-09-01,4.53838295131739
"176","30889_22",2015-06-01,4.52786093361442
"177","31678_76",2015-07-01,4.52569074397763
"178","37290_236",2015-02-01,4.51340675813723
"179","31084_83",2015-06-01,4.50556118255055
"180","37278_83",2016-10-01,4.50483432715968
"181","31068_76",2015-03-01,4.50249348286473
"182","37433_83",2016-02-01,4.49430132794062
"183","31088_83",2015-06-01,4.488546842044
"184","31145_236",2015-03-01,4.48334689818252
"185","37433_83",2015-12-01,4.48141718789897
"186","31704_236",2016-02-01,4.47407818096561
"187","30889_22",2015-01-01,4.47267674513151
"188","34945_83",2015-05-01,4.46546381847579
"189","33763_76",2016-01-01,4.46015048722323
"190","31147_76",2015-04-01,4.45340335525191
"191","36538_236",2015-05-01,4.4527547458597
"192","31679_216",2015-03-01,4.45208114544151
"193","34532_110",2015-06-01,4.45190280495289
"194","31049_22",2015-01-01,4.45023349010126
"195","35004_110",2016-11-01,4.44834276253698
"196","31190_130",2016-01-01,4.44498863588073
"197","32634_107",2015-04-01,4.4442701846706
"198","31147_76",2016-02-01,4.4442470986206
"199","31146_76",2016-11-01,4.44042495216167
"200","31084_107",2016-10-01,4.44027608985233
"201","30495_210",2015-05-01,4.43647876818595
"202","31760_110",2016-01-01,4.4348501859155
"203","36988_76",2016-11-01,4.43330233966411
"204","31916_22",2016-06-01,4.43089331272606
"205","37290_236",2016-05-01,4.42595844193077
"206","30476_83",2016-03-01,4.42530772592567
"207","32632_158",2015-04-01,4.42324954187305
"208","31084_107",2016-06-01,4.42008866056937
"209","30889_22",2015-05-01,4.41635540901651
"210","31207_110",2015-02-01,4.4126799557048
"211","31164_60",2016-05-01,4.40802752848659
"212","30957_83",2015-12-01,4.40205762102769
"213","31175_76",2016-08-01,4.40084435406957
"214","31131_76",2015-02-01,4.39465982835558
"215","31175_236",2016-08-01,4.39004383820072
"216","31175_236",2016-01-01,4.38696414656905
"217","36756_76",2016-01-01,4.37006421057237
"218","37391_130",2016-02-01,4.36633598904947
"219","31084_22",2015-05-01,4.36091476567157
"220","31147_76",2016-05-01,4.35967515852478
"221","31145_236",2016-08-01,4.35823008915083
"222","30640_83",2015-02-01,4.35353929428627
"223","34532_110",2015-01-01,4.34680814871053
"224","31579_22",2015-06-01,4.34553636503763
"225","31147_76",2016-03-01,4.34161916142702
"226","31164_60",2016-07-01,4.33550424595312
"227","29946_236",2015-01-01,4.32596203322653
"228","30626_22",2015-02-01,4.32482566367118
"229","35180_210",2016-06-01,4.32014161589676
"230","31175_76",2015-07-01,4.31768344971301
"231","34958_210",2016-06-01,4.31691425980835
"232","31452_15",2015-06-01,4.31402029440671
"233","30650_83",2015-07-01,4.31270402682368
"234","30957_22",2015-06-01,4.31028621151223
"235","35180_210",2016-09-01,4.30496211815002
"236","31175_76",2015-04-01,4.30306352193681
"237","30650_83",2015-06-01,4.30103661400532
"238","29752_76",2016-11-01,4.29836428667839
"239","37433_83",2015-06-01,4.29757560090236
"240","31448_60",2016-10-01,4.29631351134214
"241","31084_236",2016-08-01,4.29491023069233
"242","35775_110",2016-10-01,4.29265864891983
"243","36251_83",2016-11-01,4.29227518932691
"244","36251_83",2015-07-01,4.28805988152732
"245","30889_22",2016-01-01,4.2758206252253
"246","29321_76",2016-03-01,4.27441476284612
"247","34077_83",2016-10-01,4.27365381167024
"248","31175_76",2016-09-01,4.2693233069107
"249","28365_158",2015-06-01,4.26866850139608
"250","36679_83",2015-02-01,4.26857968626846
"251","35180_76",2016-01-01,4.26233251276011
"252","29739_61",2015-12-01,4.2620023187038
"253","31676_236",2016-10-01,4.25949894028431
"254","37290_236",2015-01-01,4.25859211123731
"255","31452_15",2015-01-01,4.25701411759021
"256","32632_107",2016-08-01,4.2562707751986
"257","34532_110",2015-03-01,4.23785627244499
"258","36444_236",2015-06-01,4.23192054637081
"259","34958_210",2016-03-01,4.22537521038742
"260","30640_83",2015-04-01,4.22229255401116
"261","30640_83",2016-02-01,4.21944856279509
"262","31870_236",2016-10-01,4.21844545467721
"263","30640_83",2016-07-01,4.21685570886812
"264","31848_76",2016-07-01,4.21372930673155
"265","31068_76",2016-06-01,4.21037340346906
"266","31164_60",2016-10-01,4.20537343832285
"267","31579_22",2016-09-01,4.20427375491476
"268","29946_236",2016-09-01,4.20256350046184
"269","31190_76",2015-05-01,4.19639843681602
"270","31678_76",2016-11-01,4.19438323929244
"271","31147_76",2015-07-01,4.19403436971989
"272","31175_76",2016-01-01,4.19016924060565
"273","29757_236",2016-01-01,4.18853846289704
"274","31293_83",2015-03-01,4.18747271222928
"275","37433_83",2015-07-01,4.18643208915802
"276","30895_107",2016-09-01,4.17712707762526
"277","36351_236",2016-08-01,4.17598286888072
"278","31908_101",2015-04-01,4.17474362258812
"279","34532_110",2016-10-01,4.16618074339541
"280","31175_236",2016-10-01,4.16402998762156
"281","31084_22",2016-03-01,4.16296758856406
"282","34958_210",2015-02-01,4.15914660697798
"283","29996_76",2016-01-01,4.15796091016515
"284","34532_110",2016-02-01,4.14995794568912
"285","36349_76",2016-01-01,4.14917879640586
"286","31916_22",2015-03-01,4.14766328916574
"287","30519_76",2015-06-01,4.14586462485189
"288","31164_60",2015-01-01,4.14391858918333
"289","36538_236",2016-07-01,4.14385707039099
"290","36907_76",2016-10-01,4.14043570136915
"291","30957_22",2015-02-01,4.13963904037658
"292","32634_101",2016-10-01,4.13551016184963
"293","30519_76",2016-02-01,4.13455748852202
"294","31068_76",2015-06-01,4.12864501029904
"295","30889_22",2016-07-01,4.12851634729675
"296","30963_83",2016-01-01,4.11783757547276
"297","30640_83",2015-06-01,4.11642678518563
"298","31060_236",2016-08-01,4.11379812667489
"299","37290_236",2016-09-01,4.1124358603582
"300","35602_236",2016-09-01,4.11085674202726
"301","32632_158",2015-03-01,4.10958654147662
"302","31190_107",2015-03-01,4.10957002808371
"303","37407_107",2015-02-01,4.10782341950078
"304","31084_83",2015-01-01,4.10570193209679
"305","35775_76",2015-03-01,4.104481331437
"306","35006_236",2016-02-01,4.10111740053055
"307","35671_236",2016-07-01,4.09538559340227
"308","36762_76",2016-10-01,4.09247866936821
"309","32632_107",2015-04-01,4.0922617138398
"310","34931_60",2015-05-01,4.09022431325471
"311","37391_130",2016-10-01,4.08866723230356
"312","37022_236",2015-02-01,4.08672310423722
"313","30957_22",2015-03-01,4.08499163318521
"314","34958_210",2015-01-01,4.08419665040027
